date,gold
21/02/2022,1895
22/02/2022,1900
23/02/2022,1905
24/02/2022,1936
25/02/2022,1885
28/02/2022,1910
01/03/2022,1922
02/03/2022,1929
03/03/2022,1930
04/03/2022,1945
07/03/2022,1981
08/03/2022,2039
09/03/2022,1989
10/03/2022,1997
11/03/2022,1979
14/03/2022,1954
15/03/2022,1914
16/03/2022,1913
17/03/2022,1950
18/03/2022,1936
21/03/2022,1935
22/03/2022,1915
23/03/2022,1932
24/03/2022,1965
25/03/2022,1954
28/03/2022,1937
29/03/2022,1910
30/03/2022,1934
31/03/2022,1942
01/04/2022,1929
04/04/2022,1930
05/04/2022,1944
06/04/2022,1930
07/04/2022,1932
08/04/2022,1941
11/04/2022,1952
12/04/2022,1961
13/04/2022,1977
14/04/2022,1963
15/04/2022,1963
18/04/2022,1963
19/04/2022,1964
20/04/2022,1950
21/04/2022,1944
22/04/2022,1942
25/04/2022,1895
26/04/2022,1905
27/04/2022,1886
28/04/2022,1889
29/04/2022,1911
02/05/2022,1911
03/05/2022,1870
04/05/2022,1864
05/05/2022,1892
06/05/2022,1882
09/05/2022,1861
10/05/2022,1857
11/05/2022,1852
12/05/2022,1837
13/05/2022,1812
16/05/2022,1810
17/05/2022,1825
18/05/2022,1811
19/05/2022,1844
20/05/2022,1834
23/05/2022,1856
24/05/2022,1867
25/05/2022,1847
26/05/2022,1848
27/05/2022,1852
30/05/2022,1855
31/05/2022,1839
01/06/2022,1845
02/06/2022,1845
03/06/2022,1845
06/06/2022,1847
07/06/2022,1850
08/06/2022,1853
09/06/2022,1845
10/06/2022,1830
13/06/2022,1831
14/06/2022,1818
15/06/2022,1824
16/06/2022,1827
17/06/2022,1842
20/06/2022,1837
21/06/2022,1840
22/06/2022,1842
23/06/2022,1842
24/06/2022,1826
27/06/2022,1826
28/06/2022,1819
29/06/2022,1818
30/06/2022,1817
01/07/2022,1798
04/07/2022,1808
05/07/2022,1772
06/07/2022,1754
07/07/2022,1748
08/07/2022,1738
11/07/2022,1740
12/07/2022,1731
13/07/2022,1725
14/07/2022,1701
15/07/2022,1706
18/07/2022,1719
19/07/2022,1713
20/07/2022,1709
21/07/2022,1705
22/07/2022,1737
25/07/2022,1719
26/07/2022,1720
27/07/2022,1714
28/07/2022,1754
29/07/2022,1753
01/08/2022,1772
02/08/2022,1780
03/08/2022,1761
04/08/2022,1783
05/08/2022,1773
08/08/2022,1784
09/08/2022,1795
10/08/2022,1795
11/08/2022,1797
12/08/2022,1792
15/08/2022,1777
16/08/2022,1775
17/08/2022,1767
18/08/2022,1766
19/08/2022,1751
22/08/2022,1733
23/08/2022,1747
24/08/2022,1746
25/08/2022,1754
26/08/2022,1751
29/08/2022,1751
30/08/2022,1730
31/08/2022,1716
01/09/2022,1694
02/09/2022,1713
05/09/2022,1711
06/09/2022,1703
07/09/2022,1703
08/09/2022,1709
09/09/2022,1713
12/09/2022,1726
13/09/2022,1705
14/09/2022,1704
15/09/2022,1689
16/09/2022,1665
19/09/2022,1665
20/09/2022,1664
21/09/2022,1672
22/09/2022,1672
23/09/2022,1644
26/09/2022,1643
27/09/2022,1634
28/09/2022,1652
29/09/2022,1655
30/09/2022,1672
03/10/2022,1668
04/10/2022,1715
05/10/2022,1701
06/10/2022,1714
07/10/2022,1696
10/10/2022,1677
11/10/2022,1665
12/10/2022,1671
13/10/2022,1648
14/10/2022,1649
17/10/2022,1665
18/10/2022,1653
19/10/2022,1632
20/10/2022,1635
21/10/2022,1643
24/10/2022,1649
25/10/2022,1659
26/10/2022,1667
27/10/2022,1660
28/10/2022,1648
31/10/2022,1639
01/11/2022,1645
02/11/2022,1650
03/11/2022,1629
04/11/2022,1674
07/11/2022,1679
08/11/2022,1679
09/11/2022,1715
10/11/2022,1745
11/11/2022,1759
14/11/2022,1769
15/11/2022,1771
16/11/2022,1773
17/11/2022,1759
18/11/2022,1752
21/11/2022,1740
22/11/2022,1743
23/11/2022,1740
24/11/2022,1755
25/11/2022,1752
28/11/2022,1747
29/11/2022,1753
30/11/2022,1754
01/12/2022,1803
02/12/2022,1785
05/12/2022,1777
06/12/2022,1774
07/12/2022,1782
08/12/2022,1790
09/12/2022,1796
12/12/2022,1787
13/12/2022,1824
14/12/2022,1808
15/12/2022,1784
16/12/2022,1793
19/12/2022,1791
20/12/2022,1814
21/12/2022,1818
22/12/2022,1801
23/12/2022,1801
26/12/2022,1801
27/12/2022,1801
28/12/2022,1803
29/12/2022,1814
30/12/2022,1814
02/01/2023,1814
03/01/2023,1843
04/01/2023,1857
05/01/2023,1834
06/01/2023,1852
09/01/2023,1879
10/01/2023,1879
11/01/2023,1872
12/01/2023,1883
13/01/2023,1907
16/01/2023,1917
17/01/2023,1914
18/01/2023,1921
19/01/2023,1919
20/01/2023,1925
23/01/2023,1915
24/01/2023,1921
25/01/2023,1931
26/01/2023,1933
27/01/2023,1923
30/01/2023,1924
31/01/2023,1924
01/02/2023,1926
02/02/2023,1922
03/02/2023,1875
06/02/2023,1873
07/02/2023,1871
08/02/2023,1873
09/02/2023,1879
10/02/2023,1860
13/02/2023,1856
14/02/2023,1864
15/02/2023,1831
16/02/2023,1829
17/02/2023,1834
20/02/2023,1846
21/02/2023,1837
22/02/2023,1836
23/02/2023,1826
24/02/2023,1811
27/02/2023,1819
28/02/2023,1825
01/03/2023,1841
02/03/2023,1836
03/03/2023,1841
06/03/2023,1849
07/03/2023,1827
08/03/2023,1816
09/03/2023,1831
10/03/2023,1861
13/03/2023,1911
14/03/2023,1908
15/03/2023,1923
16/03/2023,1923
17/03/2023,1962
20/03/2023,1969
21/03/2023,1953
22/03/2023,1949
23/03/2023,1978
24/03/2023,1994
27/03/2023,1946
28/03/2023,1963
29/03/2023,1965
30/03/2023,1966
31/03/2023,1980
03/04/2023,1983
04/04/2023,2010
05/04/2023,2031
06/04/2023,2002
07/04/2023,2002
10/04/2023,2002
11/04/2023,2003
12/04/2023,2008
13/04/2023,2049
14/04/2023,2019
17/04/2023,1996
18/04/2023,1999
19/04/2023,1991
20/04/2023,2007
21/04/2023,1974
24/04/2023,1978
25/04/2023,1987
26/04/2023,2003
27/04/2023,1986
28/04/2023,1983
01/05/2023,1983
02/05/2023,1995
03/05/2023,2014
04/05/2023,2045
05/05/2023,2001
08/05/2023,2001
09/05/2023,2030
10/05/2023,2037
11/05/2023,2016
12/05/2023,2020
15/05/2023,2020
16/05/2023,2008
17/05/2023,1974
18/05/2023,1960
19/05/2023,1962
22/05/2023,1970
23/05/2023,1969
24/05/2023,1970
25/05/2023,1948
26/05/2023,1948
29/05/2023,1948
30/05/2023,1953
31/05/2023,1964
01/06/2023,1974
02/06/2023,1963
05/06/2023,1960
06/06/2023,1957
07/06/2023,1967
08/06/2023,1966
09/06/2023,1960
12/06/2023,1953
13/06/2023,1954
14/06/2023,1956
15/06/2023,1952
16/06/2023,1960
19/06/2023,1951
20/06/2023,1931
21/06/2023,1926
22/06/2023,1920
23/06/2023,1931
26/06/2023,1923
27/06/2023,1919
28/06/2023,1908
29/06/2023,1900
30/06/2023,1912
03/07/2023,1929
04/07/2023,1928
05/07/2023,1925
06/07/2023,1909
07/07/2023,1922
10/07/2023,1923
11/07/2023,1934
12/07/2023,1953
13/07/2023,1958
14/07/2023,1954
17/07/2023,1950
18/07/2023,1975
19/07/2023,1975
20/07/2023,1976
21/07/2023,1961
24/07/2023,1960
25/07/2023,1959
26/07/2023,1966
27/07/2023,1945
28/07/2023,1954
31/07/2023,1971
01/08/2023,1947
02/08/2023,1944
03/08/2023,1936
04/08/2023,1943
07/08/2023,1932
08/08/2023,1926
09/08/2023,1923
10/08/2023,1921
11/08/2023,1916
14/08/2023,1904
15/08/2023,1904
16/08/2023,1904
17/08/2023,1896
18/08/2023,1894
21/08/2023,1890
22/08/2023,1893
23/08/2023,1917
24/08/2023,1917
25/08/2023,1916
28/08/2023,1916
29/08/2023,1930
30/08/2023,1948
31/08/2023,1942
01/09/2023,1941
04/09/2023,1937
05/09/2023,1926
06/09/2023,1922
07/09/2023,1918
08/09/2023,1928
11/09/2023,1925
12/09/2023,1909
13/09/2023,1914
14/09/2023,1902
15/09/2023,1928
18/09/2023,1924
19/09/2023,1935
20/09/2023,1943
21/09/2023,1915
22/09/2023,1927
25/09/2023,1925
26/09/2023,1907
27/09/2023,1887
28/09/2023,1874
29/09/2023,1871
02/10/2023,1833
03/10/2023,1823
04/10/2023,1819
05/10/2023,1820
06/10/2023,1820
09/10/2023,1846
10/10/2023,1857
11/10/2023,1871
12/10/2023,1874
13/10/2023,1909
16/10/2023,1918
17/10/2023,1928
18/10/2023,1956
19/10/2023,1954
20/10/2023,1989
23/10/2023,1973
24/10/2023,1964
25/10/2023,1983
26/10/2023,1975
27/10/2023,1983
30/10/2023,1998
31/10/2023,1997
01/11/2023,1986
02/11/2023,1984
03/11/2023,1995
06/11/2023,1985
07/11/2023,1961
08/11/2023,1959
09/11/2023,1958
10/11/2023,1942
13/11/2023,1931
14/11/2023,1969
15/11/2023,1958
16/11/2023,1980
17/11/2023,1981
20/11/2023,1969
21/11/2023,2007
22/11/2023,1998
23/11/2023,1993
24/11/2023,2001
27/11/2023,2014
28/11/2023,2026
29/11/2023,2047
30/11/2023,2036
01/12/2023,2045
04/12/2023,2049
05/12/2023,2023
06/12/2023,2026
07/12/2023,2027
08/12/2023,2008
11/12/2023,1987
12/12/2023,1981
13/12/2023,1983
14/12/2023,2046
15/12/2023,2032
18/12/2023,2024
19/12/2023,2041
20/12/2023,2036
21/12/2023,2042
22/12/2023,2042
25/12/2023,2042
26/12/2023,2042
27/12/2023,2069
28/12/2023,2078
29/12/2023,2078
01/01/2024,2078
02/01/2024,2068
03/01/2024,2042
04/01/2024,2040
05/01/2024,2056
08/01/2024,2025
09/01/2024,2035
10/01/2024,2027
11/01/2024,2029
12/01/2024,2056
15/01/2024,2050
16/01/2024,2038
17/01/2024,2012
18/01/2024,2013
19/01/2024,2029
22/01/2024,2022
23/01/2024,2023
24/01/2024,2025
25/01/2024,2024
26/01/2024,2019
29/01/2024,2023
30/01/2024,2043
31/01/2024,2053
01/02/2024,2046
02/02/2024,2034
05/02/2024,2018
06/02/2024,2031
07/02/2024,2042
08/02/2024,2029
09/02/2024,2024
12/02/2024,2015
13/02/2024,1996
14/02/2024,1985
15/02/2024,2004
16/02/2024,1998
19/02/2024,2017
20/02/2024,2029
21/02/2024,2027
22/02/2024,2024
23/02/2024,2028
26/02/2024,2027
27/02/2024,2035
28/02/2024,2033
29/02/2024,2048
01/03/2024,2050
04/03/2024,2098
05/03/2024,2134
06/03/2024,2143
07/03/2024,2154
08/03/2024,2171
11/03/2024,2181
12/03/2024,2161
13/03/2024,2168
14/03/2024,2161
15/03/2024,2164
18/03/2024,2158
19/03/2024,2155
20/03/2024,2158
21/03/2024,2171
22/03/2024,2172
25/03/2024,2177
26/03/2024,2180
27/03/2024,2193
28/03/2024,2214
29/03/2024,2214
01/04/2024,2214
02/04/2024,2265
03/04/2024,2280
04/04/2024,2294
05/04/2024,2299
08/04/2024,2320
09/04/2024,2356
10/04/2024,2333
11/04/2024,2346
12/04/2024,2402
15/04/2024,2344
16/04/2024,2369
17/04/2024,2390
18/04/2024,2383
19/04/2024,2380
22/04/2024,2335
23/04/2024,2329
24/04/2024,2320
25/04/2024,2319
26/04/2024,2343
29/04/2024,2334
30/04/2024,2307
01/05/2024,2302
02/05/2024,2289
03/05/2024,2295
06/05/2024,2295
07/05/2024,2320
08/05/2024,2309
09/05/2024,2326
10/05/2024,2373
13/05/2024,2344
14/05/2024,2355
15/05/2024,2358
16/05/2024,2377
17/05/2024,2403
20/05/2024,2420
21/05/2024,2427
22/05/2024,2408
23/05/2024,2357
24/05/2024,2343
27/05/2024,2343
28/05/2024,2351
29/05/2024,2343
30/05/2024,2349
31/05/2024,2348
03/06/2024,2338
04/06/2024,2326
05/06/2024,2340
06/06/2024,2361
07/06/2024,2311
10/06/2024,2304
11/06/2024,2317
12/06/2024,2326
13/06/2024,2311
14/06/2024,2331
17/06/2024,2320
18/06/2024,2324
19/06/2024,2324
20/06/2024,2352
21/06/2024,2335
24/06/2024,2329
25/06/2024,2325
26/06/2024,2300
27/06/2024,2324
28/06/2024,2331
01/07/2024,2329
02/07/2024,2332
03/07/2024,2361
04/07/2024,2359
05/07/2024,2379
08/07/2024,2377
09/07/2024,2368
10/07/2024,2384
11/07/2024,2409
12/07/2024,2407
15/07/2024,2421
16/07/2024,2443
17/07/2024,2480
18/07/2024,2464
19/07/2024,2404
22/07/2024,2393
23/07/2024,2403
24/07/2024,2422
25/07/2024,2364
26/07/2024,2386
29/07/2024,2391
30/07/2024,2390
31/07/2024,2426
01/08/2024,2455
02/08/2024,2470
05/08/2024,2394
06/08/2024,2397
07/08/2024,2401
08/08/2024,2412
09/08/2024,2427
12/08/2024,2451
13/08/2024,2472
14/08/2024,2457
15/08/2024,2447
16/08/2024,2486
19/08/2024,2495
20/08/2024,2530
21/08/2024,2498
22/08/2024,2483
23/08/2024,2511
26/08/2024,2511
27/08/2024,2509
28/08/2024,2505
29/08/2024,2518
30/08/2024,2513
02/09/2024,2499
03/09/2024,2480
04/09/2024,2488
05/09/2024,2510
06/09/2024,2506
09/09/2024,2500
10/09/2024,2506
11/09/2024,2508
12/09/2024,2546
13/09/2024,2575
16/09/2024,2584
17/09/2024,2575
18/09/2024,2570
19/09/2024,2575
20/09/2024,2606
23/09/2024,2630
24/09/2024,2636
25/09/2024,2662
26/09/2024,2664
27/09/2024,2662
30/09/2024,2630
01/10/2024,2668
02/10/2024,2661
03/10/2024,2648
04/10/2024,2650
07/10/2024,2641
08/10/2024,2640
09/10/2024,2611
10/10/2024,2629
11/10/2024,2649
14/10/2024,2655
15/10/2024,2649
16/10/2024,2675
17/10/2024,2689
18/10/2024,2713
21/10/2024,2737
22/10/2024,2737
23/10/2024,2737
24/10/2024,2732
25/10/2024,2732
28/10/2024,2742
29/10/2024,2769
30/10/2024,2778
31/10/2024,2734
01/11/2024,2744
04/11/2024,2743
05/11/2024,2743
06/11/2024,2660
07/11/2024,2692
08/11/2024,2691
11/11/2024,2625
12/11/2024,2607
13/11/2024,2599
14/11/2024,2567
15/11/2024,2572
18/11/2024,2607
19/11/2024,2623
20/11/2024,2641
21/11/2024,2665
22/11/2024,2695
25/11/2024,2635
26/11/2024,2622
27/11/2024,2641
28/11/2024,2642
29/11/2024,2651
02/12/2024,2642
03/12/2024,2641
04/12/2024,2649
05/12/2024,2640
06/12/2024,2637
09/12/2024,2672
10/12/2024,2690
11/12/2024,2706
12/12/2024,2684
13/12/2024,2659
16/12/2024,2654
17/12/2024,2636
18/12/2024,2636
19/12/2024,2593
20/12/2024,2617
23/12/2024,2614
24/12/2024,2614
25/12/2024,2614
26/12/2024,2614
27/12/2024,2616
30/12/2024,2609
31/12/2024,2609
01/01/2025,2609
02/01/2025,2646
03/01/2025,2647
06/01/2025,2633
07/01/2025,2651
08/01/2025,2660
09/01/2025,2675
10/01/2025,2688
13/01/2025,2670
14/01/2025,2667
15/01/2025,2678
16/01/2025,2717
17/01/2025,2715
20/01/2025,2708
21/01/2025,2738
22/01/2025,2752
23/01/2025,2744
24/01/2025,2777
27/01/2025,2742
28/01/2025,2752
29/01/2025,2756
30/01/2025,2787
31/01/2025,2812
03/02/2025,2826
04/02/2025,2844
05/02/2025,2871
06/02/2025,2839
07/02/2025,2875
10/02/2025,2905
11/02/2025,2895
12/02/2025,2892
13/02/2025,2915
14/02/2025,2921
17/02/2025,2901
18/02/2025,2927
19/02/2025,2937
20/02/2025,2932
21/02/2025,2934
24/02/2025,2932
25/02/2025,2933
26/02/2025,2901
27/02/2025,2880
28/02/2025,2835
03/03/2025,2881
04/03/2025,2906
05/03/2025,2913
06/03/2025,2922
07/03/2025,2931
10/03/2025,2910
11/03/2025,2917
12/03/2025,2925
13/03/2025,2974
14/03/2025,2978
17/03/2025,2997
18/03/2025,3026
19/03/2025,3028
20/03/2025,3038
21/03/2025,3014
24/03/2025,3008
25/03/2025,3025
26/03/2025,3013
27/03/2025,3057
28/03/2025,3072
31/03/2025,3115
01/04/2025,3134
02/04/2025,3120
03/04/2025,3118
04/04/2025,3055
07/04/2025,3015
08/04/2025,3015
09/04/2025,3076
10/04/2025,3143
11/04/2025,3231
14/04/2025,3204
15/04/2025,3220
16/04/2025,3323
17/04/2025,3306
22/04/2025,3434
23/04/2025,3263
24/04/2025,3315
25/04/2025,3277
28/04/2025,3296
29/04/2025,3305
